Year,0,1,2,3,4,5,6,7,8,mean,minus,plus
2045,10.47353425,10.32371123,10.56339397,10.39588137,10.26295781,10.49385507,10.53219425,10.39767753,10.64646877,10.45440825,10.37536028,10.45440825
2046,11.13504438,11.01661671,11.26392438,9.807251781,9.696081096,9.912273151,10.45531945,10.33681671,10.56758,10.46565641,10.08275632,10.46565641
2047,10.48015068,10.35345671,10.54670521,10.29492493,10.15596247,10.41206575,11.04871644,10.91177178,11.16575644,10.59661227,10.36309303,10.59661227
2048,10.54530164,10.40826904,10.64019479,10.78342904,10.64614027,10.8902411,10.4185811,10.29258986,10.51253397,10.57080898,10.44668257,10.57080898
2049,10.71427644,10.59091808,10.81790575,10.57348712,10.44801507,10.67749151,11.58902219,11.4955074,11.72480767,10.95904791,10.63439554,10.95904791
2050,10.65619151,10.53340658,10.76331425,11.27363781,11.16435315,11.40026164,10.24544575,10.11272466,10.34279753,10.7213481,10.41633242,10.7213481
2051,10.73346822,10.58612247,10.81373342,10.84702959,10.7118989,10.93571836,10.73366712,10.5777726,10.79787315,10.74858709,10.67241428,10.74858709
2052,11.56153863,11.43042795,11.65285781,10.65185479,10.52820247,10.74396384,11.88678959,11.77544164,11.99164712,11.35808043,10.988994,11.35808043
2053,10.98996986,10.86042055,11.06566904,11.35314274,11.20140849,11.42217945,10.39054219,10.28376082,10.49596575,10.89589543,10.62177729,10.89589543
2054,11.19907808,11.0561463,11.28940603,11.33508164,11.18611616,11.43835616,10.72507534,10.60345562,10.8462811,11.07544405,10.88625567,11.07544405
2055,10.31226329,10.17065342,10.44246356,10.95904274,10.83224055,11.05655425,11.54300329,11.41195973,11.64790712,10.93067644,10.57690439,10.93067644
2056,10.52348356,10.38795151,10.61219315,12.05776384,11.92808849,12.16185726,11.02231205,10.88432767,11.13542877,11.19037848,10.74080667,11.19037848
2057,10.91598849,10.79923123,11.02046795,11.7950937,11.64697753,11.88715479,10.8781811,10.74467205,10.98690658,11.18607482,10.88899571,11.18607482
2058,11.08777041,10.9545063,11.19617589,11.08500082,10.9615937,11.16995753,11.27108356,11.12211671,11.3668389,11.13500487,11.04711652,11.13500487
2059,11.29416329,11.16122603,11.41163616,11.07819699,10.93008767,11.16805233,10.94907699,10.82014384,11.03250274,11.09389845,10.97214122,11.09389845
2060,10.46680767,10.31010548,10.53191781,12.13625616,12.01640055,12.23599562,11.95549808,11.83792575,12.07230274,11.50702332,10.97613902,11.50702332
2061,10.93083041,10.80584164,11.04415452,11.09848137,10.94757918,11.1816811,11.22040356,11.06606356,11.28982548,11.06498454,10.96461407,11.06498454
2062,11.65316356,11.55693918,11.79861918,11.64542192,11.51744466,11.76660438,11.01349123,10.87471507,11.11254548,11.43766052,11.21238051,11.43766052
2063,11.2532589,11.10346192,11.32818904,10.94114055,10.80619205,11.03935096,10.99139726,10.87692904,11.11907671,11.0509996,10.93995467,11.0509996
2064,11.24476548,11.09784904,11.35112575,11.52326959,11.4183074,11.62636082,11.30561699,11.16112548,11.44036055,11.35208679,11.24095289,11.35208679
2065,11.51815918,11.41093315,11.66754192,11.90881507,11.80022548,12.02359918,11.84127562,11.72233068,11.97110932,11.76266551,11.62904181,11.76266551
2066,11.78635589,11.66358548,11.90266137,11.28441918,11.15447315,11.38858849,11.22418219,11.0756137,11.31369342,11.4215081,11.23038885,11.4215081
2067,12.07257452,11.96771781,12.19356164,11.57370274,11.43809808,11.68408329,11.95618932,11.81183425,12.0283063,11.85845199,11.69531022,11.85845199
2068,11.66702904,11.54485397,11.75288356,12.09933973,12.00561699,12.22407014,10.76599068,10.6203937,10.85532712,11.50394499,11.10648239,11.50394499
2069,11.32772986,11.21385808,11.4251589,11.34278521,11.20168521,11.4445589,11.23144904,11.09718192,11.3262863,11.29007705,11.21634757,11.29007705
2070,11.37262493,11.26443096,11.48000986,11.80687973,11.70863589,11.91258,11.43042466,11.30672795,11.53321068,11.5350583,11.38674587,11.5350583
2071,11.56578932,11.42558493,11.65932986,10.7889074,10.65718438,10.86145151,11.13390658,11.00206849,11.1966926,11.14343501,10.91376037,11.14343501
2072,12.02047452,11.91832329,12.13765205,10.76554603,10.63423616,10.87960767,11.5280263,11.41540219,11.64368219,11.4381056,11.07139695,11.4381056
2073,11.29679726,11.18689644,11.41498301,12.0774937,11.93703479,12.17363644,11.6255074,11.49956192,11.73786192,11.66108588,11.43434123,11.66108588
2074,12.58283534,12.4713189,12.6699737,11.4885474,11.35906438,11.60562767,11.53145452,11.37957452,11.63209507,11.85783239,11.50025256,11.85783239
2075,11.23346027,11.08227671,11.32045918,12.53655178,12.39360904,12.63226986,12.14234192,11.99984795,12.25213151,11.95477202,11.56829108,11.95477202
2076,12.21875644,12.09396301,12.31914466,11.05962603,10.94734904,11.18886493,11.21827096,11.07963342,11.32940493,11.49500149,11.13556228,11.49500149
2077,12.19110712,12.07688356,12.30406795,11.40295781,11.28675726,11.50516274,11.6303726,11.48260548,11.73417041,11.73489833,11.49403114,11.73489833
2078,11.49271562,11.37094274,11.59392411,12.1968611,12.10269973,12.28978603,11.31934027,11.2040789,11.4121137,11.66471802,11.39318677,11.66471802
2079,12.07742521,11.95860356,12.18542466,11.40860438,11.27512411,11.49538137,11.31465836,11.19466247,11.3978063,11.58974338,11.34333328,11.58974338
2080,12.72803726,12.61149973,12.84497041,11.92307151,11.76065425,12.01446767,12.38206,12.24680712,12.46340795,12.33055288,12.0861458,12.33055288
2081,11.40404849,11.26232274,11.49034904,12.9978274,12.88332356,13.13409397,11.84859808,11.70760685,11.93784986,12.07400222,11.59590718,12.07400222
2082,12.46013616,12.33295342,12.58496548,11.79158986,11.67685507,11.90005342,12.52129699,12.39979288,12.63588685,12.25594779,12.01713135,12.25594779
2083,11.61751644,11.5320189,11.72572822,12.17036274,12.05144027,12.27299041,11.89111151,11.76980685,12.00011233,11.89234307,11.72783224,11.89234307
2084,11.4814411,11.35293425,11.56044493,11.6301663,11.50321342,11.73326466,11.88704384,11.77709644,12.00417014,11.6588639,11.52208986,11.6588639
2085,12.02360575,11.9104874,12.12623918,12.20218329,12.07382959,12.29118795,12.62906822,12.52074082,12.75023589,12.28084201,12.09099525,12.28084201
2086,11.73993808,11.60436,11.8230263,12.13048959,12.02349644,12.24171863,11.53553836,11.39121644,11.62816411,11.79088311,11.60287216,11.79088311
2087,12.76040384,12.62585616,12.8634074,12.79495178,12.7044811,12.92596877,11.73540849,11.6062874,11.84963479,12.42959997,12.08023603,12.42959997
2088,12.34315562,12.2187389,12.42450712,11.63362548,11.49571507,11.76411534,12.26340932,12.15408685,12.40282959,12.07779814,11.84786641,12.07779814
2089,12.28431671,12.14863644,12.37648055,11.64780027,11.52707288,11.75293205,12.0945189,11.97064164,12.22988986,12.0035877,11.80814429,12.0035877
2090,12.24062575,12.08679616,12.31790438,12.67757205,12.54215644,12.77933041,12.6034926,12.4661926,12.69690658,12.49010855,12.3382463,12.49010855
2091,12.78634466,12.64429342,12.89486164,11.62407068,11.50257178,11.71468658,12.29624301,12.15794904,12.38555671,12.22295306,11.88676385,12.22295306
2092,12.19544027,12.06183315,12.27880904,12.3456537,12.21018274,12.4371589,12.8967326,12.79325616,13.03236356,12.47238113,12.24543073,12.47238113
2093,12.68751562,12.58500438,12.82238356,12.85131863,12.71941753,12.99482247,11.5642,11.45416986,11.67120493,12.37222633,11.96736568,12.37222633
2094,11.96570055,11.83414219,12.04458384,12.10070055,11.96610137,12.2100274,12.67632932,12.5557674,12.7952611,12.23873486,12.01102353,12.23873486
2095,12.56385288,12.41302274,12.65690603,12.6809811,12.55535781,12.80531123,11.76019096,11.66173315,11.8726663,12.33000247,12.04254487,12.33000247
2096,12.11152438,11.94535699,12.18600356,12.44196603,12.3027989,12.52820438,12.29193808,12.16952301,12.37700329,12.26159096,12.14465949,12.26159096
2097,12.04900849,11.90062055,12.14490795,13.10829562,13.00520466,13.21201534,12.18945534,12.03366548,12.28980548,12.43699766,12.09883487,12.43699766
2098,12.70908301,12.55655041,12.80205589,12.03367945,11.89148795,12.10762548,12.15115836,12.03683918,12.25968356,12.28312925,12.07010804,12.28312925
2099,11.76248356,11.59700274,11.82184329,12.82851123,12.70269041,12.90970521,12.3691011,12.25364822,12.46725973,12.30136061,11.98635151,12.30136061
2100,13.00789836,12.87425671,13.09782082,12.42402192,12.32035342,12.51849096,12.70042356,12.57813945,12.76703425,12.69871549,12.52648165,12.69871549
