,0,1,2,3,4,5,6,7,8
53,10.4082,10.19,10.5352,12.0299,11.6546,12.0826,11.4168,10.8868,11.3568
54,10.3082,10.1687,10.4675,11.9499,11.7824,12.0901,11.027,10.6917,11.0893
55,10.1259,10.0282,10.3075,11.8644,11.8568,12.1174,10.7335,10.5446,10.8843
56,9.9213,9.8498,10.1519,12.0099,11.9756,12.5185,10.496,10.3649,10.7403
57,9.8369,9.7476,10.1411,12.0509,12.0006,12.6067,10.2963,10.1503,10.6027
58,9.9764,10.0142,10.3179,12.2565,12.3356,12.794,10.1841,10.0783,10.5297
59,9.9026,9.9421,10.2094,12.3027,12.4,12.7999,10.1081,10.0312,10.4499
60,9.8087,9.8533,10.13,12.1537,12.2704,12.648,10.1611,10.1614,10.5329
61,9.7853,9.8155,10.1205,12.1858,12.296,12.6874,10.0482,10.0321,10.4196
62,9.6956,9.7266,10.0274,12.2919,12.4033,12.7957,9.9908,9.9769,10.3629
63,9.7107,9.7691,10.0169,12.1427,12.2565,12.6098,10.0036,10.0213,10.3513
64,9.8176,9.8555,10.0859,12.2233,12.2828,12.5984,9.9716,9.9681,10.296
65,9.8182,9.7835,10.1056,12.2621,12.2116,12.6682,9.9502,9.8811,10.2818
66,9.8164,9.8658,10.1731,12.2405,12.3177,12.7222,9.8425,9.7928,10.1982
67,9.8084,9.8796,10.1538,12.1124,12.1875,12.5714,9.776,9.7777,10.142
68,9.8158,9.8715,10.1578,12.0478,12.1086,12.4843,9.8231,9.8311,10.1932
69,9.775,9.8375,10.1157,12.089,12.1703,12.5233,9.8118,9.8297,10.1782
70,9.776,9.8139,10.0933,12.2015,12.1958,12.5756,9.8085,9.7964,10.1488
71,9.9095,9.9099,10.1593,12.1435,12.1218,12.4701,9.7776,9.7459,10.0828
72,9.9814,9.8726,10.1659,12.0665,11.9692,12.3275,9.8849,9.7343,10.1082
73,9.8458,9.7536,10.0378,12.09,11.8796,12.2485,9.8828,9.7194,10.0736
74,9.7935,9.7274,9.9836,11.9682,11.7896,12.132,9.7972,9.6752,10.0007
75,9.8841,9.748,10.0205,11.9149,11.7051,12.0486,9.8098,9.6433,9.9744
76,10.0995,9.9113,10.2721,12.041,11.7853,12.2051,9.7969,9.6081,9.9752
77,9.9452,9.7966,10.1483,11.9284,11.6996,12.1192,9.7322,9.5502,9.9285
78,10.0576,9.8665,10.2787,12.1025,11.8156,12.3297,9.7742,9.562,9.9942
79,10.4727,10.4211,10.8376,12.0301,11.7928,12.2641,9.6828,9.49,9.9028
80,10.3652,10.3167,10.7363,11.9606,11.7437,12.2074,9.7067,9.5286,9.9475
81,10.5029,10.4558,10.8416,12.0962,11.9241,12.3831,9.9059,9.7579,10.1631
82,10.6477,10.583,11.0201,12.2933,12.1089,12.6048,9.8921,9.7304,10.1781
